City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port elizabeth,-33.918,25.5701,66.09,89,0,2.86,ZA,1702325208
83,ilulissat,69.2167,-51.1,35.62,64,75,14.97,GL,1702325208
84,sihanoukville,10.6093,103.5296,76.95,100,20,3.44,KH,1702325208
85,ust-nera,64.5667,143.2,-2.67,98,100,8.08,RU,1702324914
86,arboletes,8.8505,-76.4269,85.46,75,24,6.64,CO,1702325208
87,kingston,17.997,-76.7936,91.24,65,20,17.27,JM,1702325139
88,talnakh,69.4865,88.3972,-16.08,98,100,10.0,RU,1702325209
89,vilhena,-12.7406,-60.1458,73.62,94,75,6.91,BR,1702325144
90,jalai nur,49.45,117.7,-13.18,98,100,2.24,CN,1702325209
91,okhotsk,59.3833,143.3,17.01,89,100,6.58,RU,1702325126
92,alta gracia,-31.6529,-64.4283,89.53,31,0,16.31,AR,1702325210
93,chernyshevskiy,63.0128,112.4714,-25.91,99,100,2.51,RU,1702325210
94,longyearbyen,78.2186,15.6401,21.04,68,75,11.5,SJ,1702325210
95,shimokizukuri,40.8061,140.3861,33.53,83,100,4.81,JP,1702324939
96,margaret river,-33.95,115.0667,58.5,70,0,8.48,AU,1702325211
97,abnub,27.2696,31.1511,61.84,43,0,8.68,EG,1702325212
98,cuyo,10.8525,121.0086,82.44,81,77,22.17,PH,1702325212
99,richards bay,-28.783,32.0377,68.52,94,100,6.4,ZA,1702325212
100,hadibu,12.65,54.0333,76.48,67,44,9.93,YE,1702325213
101,dudinka,69.4058,86.1778,-12.32,98,100,14.0,RU,1702324923
102,isafjordur,66.0755,-23.124,23.22,86,94,1.7,IS,1702325213
103,nikolayevsk-on-amure,53.1406,140.73,-10.26,88,16,6.71,RU,1702325213
104,peace river,56.2501,-117.286,17.91,73,75,6.91,CA,1702325027
105,rakops,-21.0167,24.3333,82.56,47,38,6.26,BW,1702325214
106,kodiak,57.79,-152.4072,29.71,69,0,5.75,US,1702325214
107,rabo de peixe,37.8,-25.5833,58.51,82,40,8.05,PT,1702325214
108,garhmuktesar,28.8,78.1,55.83,31,0,3.89,IN,1702325214
109,ribas do rio pardo,-20.4431,-53.7592,95.68,33,71,3.49,BR,1702325214
110,miri,4.4148,114.0089,77.14,100,40,3.44,MY,1702325165
111,laungowal,30.2167,75.6833,55.85,28,0,4.59,IN,1702325215
112,hlusk,52.903,28.6845,31.84,97,100,11.83,BY,1702325215
113,gadzhiyevo,69.2551,33.3362,7.95,91,92,18.34,RU,1702325215
114,vorgashor,67.5833,63.95,-5.3,94,100,11.32,RU,1702325215
115,morondava,-20.2833,44.2833,81.73,80,21,6.31,MG,1702325215
116,tazovsky,67.4667,78.7,-13.07,95,100,9.44,RU,1702325216
117,brookings,44.3114,-96.7984,42.8,59,0,16.11,US,1702325216
118,fortaleza,-3.7227,-38.5247,87.08,70,0,12.66,BR,1702325216
119,bredasdorp,-34.5322,20.0403,63.3,71,5,5.01,ZA,1702325216
120,victorica,-36.2151,-65.4359,96.28,18,0,13.04,AR,1702325217
121,pudasjarvi,65.3833,26.9167,2.16,98,90,3.22,FI,1702325217
122,lashio,22.9333,97.75,59.92,85,76,1.28,MM,1702325168
123,mount hagen,-5.8581,144.2274,56.39,98,75,2.01,PG,1702325217
124,puerto ayora,-0.7393,-90.3518,82.36,78,78,8.59,EC,1702325217
125,kilindoni,-7.9139,39.6668,82.02,73,100,6.85,TZ,1702325217
126,kone,-21.0595,164.8658,74.91,67,61,3.33,NC,1702325218
127,severo-yeniseyskiy,60.3725,93.0408,-40.43,100,84,1.01,RU,1702325218
128,puerto leguizamo,-0.1934,-74.7819,89.06,57,77,1.97,CO,1702325218
129,bilibino,68.0546,166.4372,-2.52,94,100,3.47,RU,1702325218
130,quellon,-43.1167,-73.6167,51.82,94,100,3.8,CL,1702325218
131,qui nhon,13.7667,109.2333,72.37,90,25,6.04,VN,1702325219
132,st. john's,47.5649,-52.7093,51.28,97,100,3.0,CA,1702325219
133,katsuura,35.1333,140.3,55.42,86,100,21.43,JP,1702325219
134,vilyuysk,63.7553,121.6247,-16.69,97,100,6.98,RU,1702325220
135,badger,64.8,-147.5333,19.27,79,75,5.75,US,1702325220
136,mills river,35.3885,-82.5668,48.45,62,0,10.36,US,1702325220
137,egilsstadir,65.2653,-14.3948,18.12,83,35,6.38,IS,1702325220
138,mont-laurier,46.5501,-75.4993,24.94,81,100,9.35,CA,1702325220
139,barranca,-10.75,-77.7667,71.96,72,13,11.07,PE,1702325221
140,zeya,53.75,127.2667,-22.52,91,5,3.49,RU,1702325221
141,laascaanood,8.4774,47.3597,75.0,51,23,9.95,SO,1702325221
142,petropavlovsk-kamchatsky,53.0452,158.6483,21.79,87,40,17.0,RU,1702324939
143,kenora,49.8167,-94.4337,20.37,100,100,13.8,CA,1702325067
144,knysna,-34.0363,23.0471,61.21,88,0,4.32,ZA,1702325222
145,la sarre,48.8002,-79.1996,15.06,75,100,7.99,CA,1702325222
146,trenggalek,-8.05,111.7167,74.01,88,100,2.35,ID,1702325222
147,kosti,13.1629,32.6635,81.37,12,89,10.16,SD,1702325223
148,gizo,-8.103,156.8419,81.05,78,99,8.41,SB,1702325224
149,xiva,41.3783,60.3639,6.78,39,0,18.45,UZ,1702325224
150,alice springs,-23.7,133.8833,51.35,76,0,4.61,AU,1702325224
151,el granada,37.5027,-122.4694,64.56,61,0,9.22,US,1702325225
152,tibanbang,6.6315,126.1055,79.14,83,98,4.5,PH,1702325225
153,takoradi,4.8845,-1.7554,81.16,81,47,8.37,GH,1702325225
154,kapa'a,22.0752,-159.319,80.58,86,40,5.75,US,1702325226
155,port alfred,-33.5906,26.891,67.17,93,5,6.67,ZA,1702324951
156,ngaruawahia,-37.6674,175.1555,60.21,68,100,17.0,NZ,1702325226
157,fomboni,-12.28,43.7425,83.08,74,32,13.49,KM,1702325226
158,magistral'nyy,56.1725,107.4458,-34.64,100,62,0.81,RU,1702325227
159,arkhara,49.4212,130.0842,-30.23,100,5,1.99,RU,1702325227
160,kill devil hills,36.0307,-75.676,50.02,60,75,9.22,US,1702325227
161,kegeyli shahar,42.7767,59.6078,1.49,57,2,15.5,UZ,1702325228
162,mogocha,53.7333,119.7667,-30.62,98,6,2.95,RU,1702325228
163,caleta de carquin,-11.0925,-77.6267,73.26,73,7,11.77,PE,1702325229
164,ust-tsilma,65.441,52.1498,4.6,91,100,11.99,RU,1702325229
165,pisco,-13.7,-76.2167,75.25,64,0,16.11,PE,1702325230
166,stanley,54.868,-1.6985,34.77,100,0,1.14,GB,1702325186
167,hawaiian paradise park,19.5933,-154.9731,78.89,97,100,6.91,US,1702325230
168,quang ngai,15.1167,108.8,71.64,91,85,4.56,VN,1702325231
169,qaqortoq,60.7167,-46.0333,28.47,96,100,14.85,GL,1702325231
170,progreso,21.2833,-89.6667,77.11,61,100,14.7,MX,1702325231
171,invercargill,-46.4,168.35,47.73,72,68,19.04,NZ,1702324942
172,port lincoln,-34.7333,135.8667,62.55,82,85,6.02,AU,1702325232
173,irbit,57.6705,63.071,-28.44,99,15,4.03,RU,1702325232
174,ancud,-41.8697,-73.8203,54.91,93,99,10.87,CL,1702325234
175,kuta,-8.7233,115.1723,80.55,83,40,8.05,ID,1702325234
176,atchison,39.563,-95.1216,53.38,48,0,9.71,US,1702325234
177,san juan de miraflores,-12.1629,-76.9635,70.32,73,53,9.86,PE,1702325235
178,mersa matruh,31.3525,27.2453,60.89,66,46,2.33,EG,1702325235
179,tambura,5.6,27.4667,83.82,39,63,0.67,SS,1702325236
180,timimoun,29.2639,0.231,63.7,29,99,8.32,DZ,1702325236
181,geraldton,-28.7667,114.6,68.41,34,0,6.91,AU,1702325236
182,rio brilhante,-21.8019,-54.5464,91.08,45,47,1.41,BR,1702325237
183,funadhoo,6.15,73.2667,82.51,72,99,3.62,MV,1702325237
184,port douglas,-16.4833,145.4667,79.83,71,70,5.53,AU,1702325238
